ds,yhat,yhat_lower,yhat_upper
2014-04-04,63.30286697574413,-18.049917416989548,145.65529217894712
2014-04-05,111.19050734479545,30.122116676852873,189.4514045272035
2014-04-06,71.24401729971589,-8.416343960761992,143.2270381718043
2014-04-07,49.330147476238054,-27.39112706188746,128.18254779834666
2014-04-08,48.26408357122718,-37.35380522129406,126.19924483150746
2014-04-09,69.31907928165609,-6.330553660581938,149.70930813477636
2014-04-10,61.06575520788315,-19.023642269393584,146.40426294372986
2014-04-11,75.77355875414605,-10.369095428675497,151.6287233896247
2014-04-12,126.1121175977034,43.75003999007523,201.8540559348817
2014-04-13,88.22400544532103,6.125702343531373,167.7410982181717
2014-04-14,67.92626589244176,-8.686239692433881,146.6404525493533
2014-04-15,67.99516481144784,-10.80903554919,153.13351034668835
